type,disease,code,description,exclude,concat
SNOMED CT,Ulcerative colitis,414156000,Exacerbation of ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '414156000', 'Exacerbation of ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,441971007,Chronic left-sided ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '441971007', 'Chronic left-sided ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,442159003,Chronic ulcerative pancolitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '442159003', 'Chronic ulcerative pancolitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,444546002,Chronic ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '444546002', 'Chronic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,445243001,Left sided ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '445243001', 'Left sided ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,732966008,Secondary autoimmune hemolytic anemia co-occurrent and due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '732966008', 'Secondary autoimmune hemolytic anemia co-occurrent and due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1197015008,Gingival disease due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1197015008', 'Gingival disease due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1085131000119105,Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1085131000119105', 'Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1085231000119100,Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1085231000119100', 'Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1092841000119100,Abscess of intestine co-occurrent and due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1092841000119100', 'Abscess of intestine co-occurrent and due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1092851000119103,Complication due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1092851000119103', 'Complication due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1092861000119101,Fistula of intestine due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1092861000119101', 'Fistula of intestine due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1092871000119107,Intestinal obstruction due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1092871000119107', 'Intestinal obstruction due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,1092881000119105,Rectal hemorrhage due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '1092881000119105', 'Rectal hemorrhage due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,453720571000119100,Acute ulcerative rectosigmoiditis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '453720571000119100', 'Acute ulcerative rectosigmoiditis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,966011731000119103,Acute ulcerative pancolitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '966011731000119103', 'Acute ulcerative pancolitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,969688801000119108,Acute left-sided ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '969688801000119108', 'Acute left-sided ulcerative colitis (disorder)', '0'),"
