type,code,description,exclude,
ICD-10,C058,Malignant neoplasm of overlapping lesion of palate,0,"    ('ICD-10', 'C058', 'Malignant neoplasm of overlapping lesion of palate', '0'),"
ICD-10,C059,"Malignant neoplasm of palate, unspecified",0,"    ('ICD-10', 'C059', 'Malignant neoplasm of palate, unspecified', '0'),"
ICD-10,C06,Malignant neoplasm of other and unspecified parts of mouth,0,"    ('ICD-10', 'C06', 'Malignant neoplasm of other and unspecified parts of mouth', '0'),"
ICD-10,C060,Malignant neoplasm of cheek mucosa,0,"    ('ICD-10', 'C060', 'Malignant neoplasm of cheek mucosa', '0'),"
ICD-10,C061,Malignant neoplasm of vestibule of mouth,0,"    ('ICD-10', 'C061', 'Malignant neoplasm of vestibule of mouth', '0'),"
ICD-10,C062,Malignant neoplasm of retromolar area,0,"    ('ICD-10', 'C062', 'Malignant neoplasm of retromolar area', '0'),"
ICD-10,C068,Overlapping lesion of other and unspecified parts of mouth,0,"    ('ICD-10', 'C068', 'Overlapping lesion of other and unspecified parts of mouth', '0'),"
ICD-10,C069,"Malignant neoplasm of mouth, unspecified",0,"    ('ICD-10', 'C069', 'Malignant neoplasm of mouth, unspecified', '0'),"
ICD-10,C07,Malignant neoplasm of parotid gland,0,"    ('ICD-10', 'C07', 'Malignant neoplasm of parotid gland', '0'),"
ICD-10,C08,Malignant neoplasm of other and unspecified major salivary glands,0,"    ('ICD-10', 'C08', 'Malignant neoplasm of other and unspecified major salivary glands', '0'),"
ICD-10,C080,Malignant neoplasm of submandibular gland,0,"    ('ICD-10', 'C080', 'Malignant neoplasm of submandibular gland', '0'),"
ICD-10,C081,Malignant neoplasm of sublingual gland,0,"    ('ICD-10', 'C081', 'Malignant neoplasm of sublingual gland', '0'),"
ICD-10,C088,Malignant neoplasm of overlapping lesion of major salivary glands,0,"    ('ICD-10', 'C088', 'Malignant neoplasm of overlapping lesion of major salivary glands', '0'),"
ICD-10,C089,"Malignant neoplasm of major salivary gland, unspecified",0,"    ('ICD-10', 'C089', 'Malignant neoplasm of major salivary gland, unspecified', '0'),"
ICD-10,C09,Malignant neoplasm of tonsil,0,"    ('ICD-10', 'C09', 'Malignant neoplasm of tonsil', '0'),"
ICD-10,C090,Malignant neoplasm of tonsillar fossa,0,"    ('ICD-10', 'C090', 'Malignant neoplasm of tonsillar fossa', '0'),"
ICD-10,C091,Malignant neoplasm of tonsillar pillar (anterior)(posterior),0,"    ('ICD-10', 'C091', 'Malignant neoplasm of tonsillar pillar (anterior)(posterior)', '0'),"
ICD-10,C098,Malignant neoplasm of overlapping lesion of tonsil,0,"    ('ICD-10', 'C098', 'Malignant neoplasm of overlapping lesion of tonsil', '0'),"
ICD-10,C099,"Malignant neoplasm of tonsil, unspecified",0,"    ('ICD-10', 'C099', 'Malignant neoplasm of tonsil, unspecified', '0'),"
ICD-10,C10,Malignant neoplasm of oropharynx,0,"    ('ICD-10', 'C10', 'Malignant neoplasm of oropharynx', '0'),"
ICD-10,C100,Malignant neoplasm of vallecula,0,"    ('ICD-10', 'C100', 'Malignant neoplasm of vallecula', '0'),"
ICD-10,C101,Malignant neoplasm of anterior surface of epiglottis,0,"    ('ICD-10', 'C101', 'Malignant neoplasm of anterior surface of epiglottis', '0'),"
ICD-10,C102,Malignant neoplasm of lateral wall of oropharynx,0,"    ('ICD-10', 'C102', 'Malignant neoplasm of lateral wall of oropharynx', '0'),"
ICD-10,C103,Malignant neoplasm of posterior wall of oropharynx,0,"    ('ICD-10', 'C103', 'Malignant neoplasm of posterior wall of oropharynx', '0'),"
ICD-10,C104,Malignant neoplasm of branchial cleft,0,"    ('ICD-10', 'C104', 'Malignant neoplasm of branchial cleft', '0'),"
ICD-10,C108,Malignant neoplasm of overlapping lesion of oropharynx,0,"    ('ICD-10', 'C108', 'Malignant neoplasm of overlapping lesion of oropharynx', '0'),"
ICD-10,C109,"Malignant neoplasm of oropharynx, unspecified",0,"    ('ICD-10', 'C109', 'Malignant neoplasm of oropharynx, unspecified', '0'),"
ICD-10,C11,Malignant neoplasm of nasopharynx,0,"    ('ICD-10', 'C11', 'Malignant neoplasm of nasopharynx', '0'),"
ICD-10,C110,Malignant neoplasm of superior wall of nasopharynx,0,"    ('ICD-10', 'C110', 'Malignant neoplasm of superior wall of nasopharynx', '0'),"
ICD-10,C111,Malignant neoplasm of posterior wall of nasopharynx,0,"    ('ICD-10', 'C111', 'Malignant neoplasm of posterior wall of nasopharynx', '0'),"
ICD-10,C112,Malignant neoplasm of lateral wall of nasopharynx,0,"    ('ICD-10', 'C112', 'Malignant neoplasm of lateral wall of nasopharynx', '0'),"
ICD-10,C113,Malignant neoplasm of anterior wall of nasopharynx,0,"    ('ICD-10', 'C113', 'Malignant neoplasm of anterior wall of nasopharynx', '0'),"
ICD-10,C118,Malignant neoplasm of overlapping lesion of nasopharynx,0,"    ('ICD-10', 'C118', 'Malignant neoplasm of overlapping lesion of nasopharynx', '0'),"
ICD-10,C119,"Malignant neoplasm of nasopharynx, unspecified",0,"    ('ICD-10', 'C119', 'Malignant neoplasm of nasopharynx, unspecified', '0'),"
ICD-10,C12,Malignant neoplasm of pyriform sinus,0,"    ('ICD-10', 'C12', 'Malignant neoplasm of pyriform sinus', '0'),"
ICD-10,C13,Malignant neoplasm of hypopharynx,0,"    ('ICD-10', 'C13', 'Malignant neoplasm of hypopharynx', '0'),"
ICD-10,C130,Malignant neoplasm of postcricoid region,0,"    ('ICD-10', 'C130', 'Malignant neoplasm of postcricoid region', '0'),"
ICD-10,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",0,"    ('ICD-10', 'C131', 'Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect', '0'),"
ICD-10,C132,Malignant neoplasm of posterior wall of hypopharynx,0,"    ('ICD-10', 'C132', 'Malignant neoplasm of posterior wall of hypopharynx', '0'),"
ICD-10,C138,Malignant neoplasm of overlapping lesion of hypopharynx,0,"    ('ICD-10', 'C138', 'Malignant neoplasm of overlapping lesion of hypopharynx', '0'),"
ICD-10,C139,"Malignant neoplasm of hypopharynx, unspecified",0,"    ('ICD-10', 'C139', 'Malignant neoplasm of hypopharynx, unspecified', '0'),"
ICD-10,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",0,"    ('ICD-10', 'C14', 'Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx', '0'),"
ICD-10,C140,"Malignant neoplasm of pharynx, unspecified",0,"    ('ICD-10', 'C140', 'Malignant neoplasm of pharynx, unspecified', '0'),"
ICD-10,C142,Malignant neoplasm of waldeyer ring,0,"    ('ICD-10', 'C142', 'Malignant neoplasm of waldeyer ring', '0'),"
ICD-10,C148,"Overlapping lesion of lip, oral cavity and pharynx",0,"    ('ICD-10', 'C148', 'Overlapping lesion of lip, oral cavity and pharynx', '0'),"
ICD-10,C15,Malignant neoplasm of oesophagus,0,"    ('ICD-10', 'C15', 'Malignant neoplasm of oesophagus', '0'),"
ICD-10,C150,Malignant neoplasm of cervical part of oesophagus,0,"    ('ICD-10', 'C150', 'Malignant neoplasm of cervical part of oesophagus', '0'),"
ICD-10,C151,Malignant neoplasm of thoracic part of oesophagus,0,"    ('ICD-10', 'C151', 'Malignant neoplasm of thoracic part of oesophagus', '0'),"
ICD-10,C152,Malignant neoplasm of abdominal part of oesophagus,0,"    ('ICD-10', 'C152', 'Malignant neoplasm of abdominal part of oesophagus', '0'),"
ICD-10,C153,Malignant neoplasm of upper third of oesophagus,0,"    ('ICD-10', 'C153', 'Malignant neoplasm of upper third of oesophagus', '0'),"
ICD-10,C154,Malignant neoplasm of middle third of oesophagus,0,"    ('ICD-10', 'C154', 'Malignant neoplasm of middle third of oesophagus', '0'),"
ICD-10,C155,Malignant neoplasm of lower third of oesophagus,0,"    ('ICD-10', 'C155', 'Malignant neoplasm of lower third of oesophagus', '0'),"
ICD-10,C158,Overlapping lesion of oesophagus,0,"    ('ICD-10', 'C158', 'Overlapping lesion of oesophagus', '0'),"
ICD-10,C159,"Malignant neoplasm of oesophagus, unspecified",0,"    ('ICD-10', 'C159', 'Malignant neoplasm of oesophagus, unspecified', '0'),"
ICD-10,C16,Malignant neoplasm of stomach,0,"    ('ICD-10', 'C16', 'Malignant neoplasm of stomach', '0'),"
ICD-10,C160,Malignant neoplasm of cardia,0,"    ('ICD-10', 'C160', 'Malignant neoplasm of cardia', '0'),"
ICD-10,C161,Malignant neoplasm of fundus of stomach,0,"    ('ICD-10', 'C161', 'Malignant neoplasm of fundus of stomach', '0'),"
ICD-10,C162,Malignant neoplasm of body of stomach,0,"    ('ICD-10', 'C162', 'Malignant neoplasm of body of stomach', '0'),"
ICD-10,C163,Malignant neoplasm of pyloric antrum,0,"    ('ICD-10', 'C163', 'Malignant neoplasm of pyloric antrum', '0'),"
ICD-10,C164,Malignant neoplasm of pylorus,0,"    ('ICD-10', 'C164', 'Malignant neoplasm of pylorus', '0'),"
ICD-10,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",0,"    ('ICD-10', 'C165', 'Malignant neoplasm of lesser curvature of stomach, unspecified', '0'),"
ICD-10,C166,"Malignant neoplasm of greater curvature of stomach, unspecified",0,"    ('ICD-10', 'C166', 'Malignant neoplasm of greater curvature of stomach, unspecified', '0'),"
ICD-10,C168,Overlapping lesion of stomach,0,"    ('ICD-10', 'C168', 'Overlapping lesion of stomach', '0'),"
ICD-10,C169,"Malignant neoplasm of stomach, unspecified",0,"    ('ICD-10', 'C169', 'Malignant neoplasm of stomach, unspecified', '0'),"
ICD-10,C17,Malignant neoplasm of small intestine,0,"    ('ICD-10', 'C17', 'Malignant neoplasm of small intestine', '0'),"
ICD-10,C170,Malignant neoplasm of duodenum,0,"    ('ICD-10', 'C170', 'Malignant neoplasm of duodenum', '0'),"
ICD-10,C171,Malignant neoplasm of jejunum,0,"    ('ICD-10', 'C171', 'Malignant neoplasm of jejunum', '0'),"
ICD-10,C172,Malignant neoplasm of ileum,0,"    ('ICD-10', 'C172', 'Malignant neoplasm of ileum', '0'),"
ICD-10,C173,Malignant neoplasm of meckel diverticulum,0,"    ('ICD-10', 'C173', 'Malignant neoplasm of meckel diverticulum', '0'),"
ICD-10,C178,Overlapping lesion of small intestine,0,"    ('ICD-10', 'C178', 'Overlapping lesion of small intestine', '0'),"
ICD-10,C179,"Malignant neoplasm of small intestine, unspecified",0,"    ('ICD-10', 'C179', 'Malignant neoplasm of small intestine, unspecified', '0'),"
ICD-10,C18,Malignant neoplasm of colon,0,"    ('ICD-10', 'C18', 'Malignant neoplasm of colon', '0'),"
ICD-10,C180,Malignant neoplasm of caecum,0,"    ('ICD-10', 'C180', 'Malignant neoplasm of caecum', '0'),"
ICD-10,C181,Malignant neoplasm of appendix,0,"    ('ICD-10', 'C181', 'Malignant neoplasm of appendix', '0'),"
ICD-10,C182,Malignant neoplasm of ascending colon,0,"    ('ICD-10', 'C182', 'Malignant neoplasm of ascending colon', '0'),"
ICD-10,C183,Malignant neoplasm of hepatic flexure,0,"    ('ICD-10', 'C183', 'Malignant neoplasm of hepatic flexure', '0'),"
ICD-10,C184,Malignant neoplasm of transverse colon,0,"    ('ICD-10', 'C184', 'Malignant neoplasm of transverse colon', '0'),"
ICD-10,C185,Malignant neoplasm of splenic flexure,0,"    ('ICD-10', 'C185', 'Malignant neoplasm of splenic flexure', '0'),"
ICD-10,C186,Malignant neoplasm of descending colon,0,"    ('ICD-10', 'C186', 'Malignant neoplasm of descending colon', '0'),"
ICD-10,C187,Malignant neoplasm of sigmoid colon,0,"    ('ICD-10', 'C187', 'Malignant neoplasm of sigmoid colon', '0'),"
ICD-10,C188,Overlapping lesion of colon,0,"    ('ICD-10', 'C188', 'Overlapping lesion of colon', '0'),"
ICD-10,C189,"Malignant neoplasm of colon, unspecified",0,"    ('ICD-10', 'C189', 'Malignant neoplasm of colon, unspecified', '0'),"
ICD-10,C19,Malignant neoplasm of rectosigmoid junction,0,"    ('ICD-10', 'C19', 'Malignant neoplasm of rectosigmoid junction', '0'),"
ICD-10,C20,Malignant neoplasm of rectum,0,"    ('ICD-10', 'C20', 'Malignant neoplasm of rectum', '0'),"
ICD-10,C21,Malignant neoplasm of anus and anal canal,0,"    ('ICD-10', 'C21', 'Malignant neoplasm of anus and anal canal', '0'),"
ICD-10,C210,"Malignant neoplasm of anus, unspecified",0,"    ('ICD-10', 'C210', 'Malignant neoplasm of anus, unspecified', '0'),"
ICD-10,C211,Malignant neoplasm of anal canal,0,"    ('ICD-10', 'C211', 'Malignant neoplasm of anal canal', '0'),"
ICD-10,C212,Malignant neoplasm of cloacogenic zone,0,"    ('ICD-10', 'C212', 'Malignant neoplasm of cloacogenic zone', '0'),"
ICD-10,C218,"Overlapping lesion of rectum, anus and anal canal",0,"    ('ICD-10', 'C218', 'Overlapping lesion of rectum, anus and anal canal', '0'),"
ICD-10,C22,Malignant neoplasm of liver and intrahepatic bile ducts,0,"    ('ICD-10', 'C22', 'Malignant neoplasm of liver and intrahepatic bile ducts', '0'),"
ICD-10,C220,Liver cell carcinoma,0,"    ('ICD-10', 'C220', 'Liver cell carcinoma', '0'),"
ICD-10,C221,Intrahepatic bile duct carcinoma,0,"    ('ICD-10', 'C221', 'Intrahepatic bile duct carcinoma', '0'),"
ICD-10,C222,Hepatoblastoma,0,"    ('ICD-10', 'C222', 'Hepatoblastoma', '0'),"
ICD-10,C223,Angiosarcoma of liver,0,"    ('ICD-10', 'C223', 'Angiosarcoma of liver', '0'),"
ICD-10,C224,Other sarcomas of liver,0,"    ('ICD-10', 'C224', 'Other sarcomas of liver', '0'),"
ICD-10,C227,Other specified carcinomas of liver,0,"    ('ICD-10', 'C227', 'Other specified carcinomas of liver', '0'),"
ICD-10,C229,"Malignant neoplasm of liver, unspecified",0,"    ('ICD-10', 'C229', 'Malignant neoplasm of liver, unspecified', '0'),"
ICD-10,C23,Malignant neoplasm of gallbladder,0,"    ('ICD-10', 'C23', 'Malignant neoplasm of gallbladder', '0'),"
ICD-10,C24,Malignant neoplasm of other and unspecified parts of biliary tract,0,"    ('ICD-10', 'C24', 'Malignant neoplasm of other and unspecified parts of biliary tract', '0'),"
ICD-10,C240,Malignant neoplasm of extrahepatic bile duct,0,"    ('ICD-10', 'C240', 'Malignant neoplasm of extrahepatic bile duct', '0'),"
ICD-10,C241,Malignant neoplasm of ampulla of Vater,0,"    ('ICD-10', 'C241', 'Malignant neoplasm of ampulla of Vater', '0'),"
ICD-10,C248,Malignant neoplasm of overlapping sites of biliary tract,0,"    ('ICD-10', 'C248', 'Malignant neoplasm of overlapping sites of biliary tract', '0'),"
ICD-10,C249,"Malignant neoplasm of biliary tract, unspecified",0,"    ('ICD-10', 'C249', 'Malignant neoplasm of biliary tract, unspecified', '0'),"
ICD-10,C25,Malignant neoplasm of pancreas,0,"    ('ICD-10', 'C25', 'Malignant neoplasm of pancreas', '0'),"
ICD-10,C250,Malignant neoplasm of head of pancreas,0,"    ('ICD-10', 'C250', 'Malignant neoplasm of head of pancreas', '0'),"
ICD-10,C251,Malignant neoplasm of body of pancreas,0,"    ('ICD-10', 'C251', 'Malignant neoplasm of body of pancreas', '0'),"
ICD-10,C252,Malignant neoplasm of tail of pancreas,0,"    ('ICD-10', 'C252', 'Malignant neoplasm of tail of pancreas', '0'),"
ICD-10,C253,Malignant neoplasm of pancreatic duct,0,"    ('ICD-10', 'C253', 'Malignant neoplasm of pancreatic duct', '0'),"
ICD-10,C254,Malignant neoplasm of endocrine pancreas,0,"    ('ICD-10', 'C254', 'Malignant neoplasm of endocrine pancreas', '0'),"
ICD-10,C257,Malignant neoplasm of other parts of pancreas,0,"    ('ICD-10', 'C257', 'Malignant neoplasm of other parts of pancreas', '0'),"
ICD-10,C258,Malignant neoplasm of overlapping sites of pancreas,0,"    ('ICD-10', 'C258', 'Malignant neoplasm of overlapping sites of pancreas', '0'),"
ICD-10,C259,"Malignant neoplasm of pancreas, unspecified",0,"    ('ICD-10', 'C259', 'Malignant neoplasm of pancreas, unspecified', '0'),"
ICD-10,C26,Malignant neoplasm of other and ill-defined digestive organs,0,"    ('ICD-10', 'C26', 'Malignant neoplasm of other and ill-defined digestive organs', '0'),"
ICD-10,C260,"Malignant neoplasm of intestinal tract, part unspecified",0,"    ('ICD-10', 'C260', 'Malignant neoplasm of intestinal tract, part unspecified', '0'),"
ICD-10,C261,Malignant neoplasm of spleen,0,"    ('ICD-10', 'C261', 'Malignant neoplasm of spleen', '0'),"
ICD-10,C268,Malignant neoplasm of overlapping lesion of digestive system,0,"    ('ICD-10', 'C268', 'Malignant neoplasm of overlapping lesion of digestive system', '0'),"
ICD-10,C269,Malignant neoplasm of ill-defined sites within the digestive system,0,"    ('ICD-10', 'C269', 'Malignant neoplasm of ill-defined sites within the digestive system', '0'),"
ICD-10,C30,Malignant neoplasm of nasal cavity and middle ear,0,"    ('ICD-10', 'C30', 'Malignant neoplasm of nasal cavity and middle ear', '0'),"
ICD-10,C300,Malignant neoplasm of nasal cavity,0,"    ('ICD-10', 'C300', 'Malignant neoplasm of nasal cavity', '0'),"
ICD-10,C301,Malignant neoplasm of middle ear,0,"    ('ICD-10', 'C301', 'Malignant neoplasm of middle ear', '0'),"
ICD-10,C31,Malignant neoplasm of accessory sinuses,0,"    ('ICD-10', 'C31', 'Malignant neoplasm of accessory sinuses', '0'),"
ICD-10,C310,Malignant neoplasm of maxillary sinus,0,"    ('ICD-10', 'C310', 'Malignant neoplasm of maxillary sinus', '0'),"
ICD-10,C311,Malignant neoplasm of ethmoidal sinus,0,"    ('ICD-10', 'C311', 'Malignant neoplasm of ethmoidal sinus', '0'),"
ICD-10,C312,Malignant neoplasm of frontal sinus,0,"    ('ICD-10', 'C312', 'Malignant neoplasm of frontal sinus', '0'),"
ICD-10,C313,Malignant neoplasm of sphenoid sinus,0,"    ('ICD-10', 'C313', 'Malignant neoplasm of sphenoid sinus', '0'),"
ICD-10,C318,Malignant neoplasm of overlapping sites of accessory sinuses,0,"    ('ICD-10', 'C318', 'Malignant neoplasm of overlapping sites of accessory sinuses', '0'),"
ICD-10,C319,"Malignant neoplasm of accessory sinus, unspecified",0,"    ('ICD-10', 'C319', 'Malignant neoplasm of accessory sinus, unspecified', '0'),"
ICD-10,C32,Malignant neoplasm of larynx,0,"    ('ICD-10', 'C32', 'Malignant neoplasm of larynx', '0'),"
ICD-10,C320,Malignant neoplasm of glottis,0,"    ('ICD-10', 'C320', 'Malignant neoplasm of glottis', '0'),"
ICD-10,C321,Malignant neoplasm of supraglottis,0,"    ('ICD-10', 'C321', 'Malignant neoplasm of supraglottis', '0'),"
ICD-10,C322,Malignant neoplasm of subglottis,0,"    ('ICD-10', 'C322', 'Malignant neoplasm of subglottis', '0'),"
ICD-10,C323,Malignant neoplasm of laryngeal cartilage,0,"    ('ICD-10', 'C323', 'Malignant neoplasm of laryngeal cartilage', '0'),"
ICD-10,C328,Malignant neoplasm of overlapping sites of larynx,0,"    ('ICD-10', 'C328', 'Malignant neoplasm of overlapping sites of larynx', '0'),"
ICD-10,C329,"Malignant neoplasm of larynx, unspecified",0,"    ('ICD-10', 'C329', 'Malignant neoplasm of larynx, unspecified', '0'),"
ICD-10,C33,Malignant neoplasm of trachea,0,"    ('ICD-10', 'C33', 'Malignant neoplasm of trachea', '0'),"
ICD-10,C34,Malignant neoplasm of bronchus and lung,0,"    ('ICD-10', 'C34', 'Malignant neoplasm of bronchus and lung', '0'),"
ICD-10,C340,Malignant neoplasm of main bronchus,0,"    ('ICD-10', 'C340', 'Malignant neoplasm of main bronchus', '0'),"
ICD-10,C341,"Malignant neoplasm of upper lobe, bronchus or lung ",0,"    ('ICD-10', 'C341', 'Malignant neoplasm of upper lobe, bronchus or lung ', '0'),"
ICD-10,C342,"Malignant neoplasm of middle lobe, bronchus or lung",0,"    ('ICD-10', 'C342', 'Malignant neoplasm of middle lobe, bronchus or lung', '0'),"
ICD-10,C343,"Malignant neoplasm of lower lobe, bronchus or lung",0,"    ('ICD-10', 'C343', 'Malignant neoplasm of lower lobe, bronchus or lung', '0'),"
ICD-10,C348,Malignant neoplasm of overlapping lesion of bronchus and lung,0,"    ('ICD-10', 'C348', 'Malignant neoplasm of overlapping lesion of bronchus and lung', '0'),"
ICD-10,C349,"Malignant neoplasm of bronchus or lung, unspecified",0,"    ('ICD-10', 'C349', 'Malignant neoplasm of bronchus or lung, unspecified', '0'),"
ICD-10,C37,Malignant neoplasm of thymus,0,"    ('ICD-10', 'C37', 'Malignant neoplasm of thymus', '0'),"
ICD-10,C38,"Malignant neoplasm of heart, mediastinum and pleura",0,"    ('ICD-10', 'C38', 'Malignant neoplasm of heart, mediastinum and pleura', '0'),"
ICD-10,C380,Malignant neoplasm of heart,0,"    ('ICD-10', 'C380', 'Malignant neoplasm of heart', '0'),"
ICD-10,C381,Malignant neoplasm of anterior mediastinum,0,"    ('ICD-10', 'C381', 'Malignant neoplasm of anterior mediastinum', '0'),"
ICD-10,C382,Malignant neoplasm of posterior mediastinum,0,"    ('ICD-10', 'C382', 'Malignant neoplasm of posterior mediastinum', '0'),"
ICD-10,C383,"Malignant neoplasm of mediastinum, part unspecified",0,"    ('ICD-10', 'C383', 'Malignant neoplasm of mediastinum, part unspecified', '0'),"
ICD-10,C384,Malignant neoplasm of pleura,0,"    ('ICD-10', 'C384', 'Malignant neoplasm of pleura', '0'),"
ICD-10,C388,"Overlapping lesion of heart, mediastinum and pleura",0,"    ('ICD-10', 'C388', 'Overlapping lesion of heart, mediastinum and pleura', '0'),"
ICD-10,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,0,"    ('ICD-10', 'C39', 'Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs', '0'),"
ICD-10,C390,"Malignant neoplasm of upper respiratory tract, part unspecified",0,"    ('ICD-10', 'C390', 'Malignant neoplasm of upper respiratory tract, part unspecified', '0'),"
ICD-10,C398,Overlapping lesion of respiratory and intrathoracic organs,0,"    ('ICD-10', 'C398', 'Overlapping lesion of respiratory and intrathoracic organs', '0'),"
ICD-10,C399,Malignant neoplasm of ill-defined sites within the respiratory system,0,"    ('ICD-10', 'C399', 'Malignant neoplasm of ill-defined sites within the respiratory system', '0'),"
ICD-10,C40,Malignant neoplasm of bone and articular cartilage of limbs,0,"    ('ICD-10', 'C40', 'Malignant neoplasm of bone and articular cartilage of limbs', '0'),"
ICD-10,C400,Malignant neoplasm of scapula and long bones of upper limb,0,"    ('ICD-10', 'C400', 'Malignant neoplasm of scapula and long bones of upper limb', '0'),"
ICD-10,C401,Malignant neoplasm of short bones of upper limb,0,"    ('ICD-10', 'C401', 'Malignant neoplasm of short bones of upper limb', '0'),"
ICD-10,C402,Malignant neoplasm of long bones of lower limb,0,"    ('ICD-10', 'C402', 'Malignant neoplasm of long bones of lower limb', '0'),"
ICD-10,C403,Malignant neoplasm of short bones of lower limb,0,"    ('ICD-10', 'C403', 'Malignant neoplasm of short bones of lower limb', '0'),"
ICD-10,C408,Overlapping lesion of bone and articular cartilage of limbs,0,"    ('ICD-10', 'C408', 'Overlapping lesion of bone and articular cartilage of limbs', '0'),"
